793467905836929025,Háganme un favor y reenvíenle este cortometraje @realDonaldTrump 👇🏻 ,Mexico
793257840106414081,Miguel Angel Mancera: Que Las Terrazas de Restaurantes Sean Familiares en Fines de Semana. No par...  via @Change_Mex,Mexico
790708682405228544,"Les comparto este corto que está compitiendo en el festival de Morelia @FICM, Fisuras, con mi amiga ArceliaRamírez ",Mexico
790578250661507072,Sr Gobernador @JaimeRdzNL nos podría ayudar prohibiendo está crueldad? Hay que erradicar la violencia de Nuevo León… ,Mexico
790221638750998528,URGENT: Maryland's black bear trophy hunt begins Oct. 24th ,Mexico
789882802149863424,MUY bueno!,Mexico
789286336431656960,¿Quieren saber x qué terminó la relación del preguuúntame con @_lachupitos ?... Aquí en exclusiva el vídeo... TBT,Mexico
788940869248266240,Ya empezó! LaHistoriaBorracha canal 213 Izzi / 230 Sky @ComedyCentralLA ,Mexico
788930612576985088,"La historia contada con unos tequilas de más. Hoy @vadhirderbez interpretando a Juan Escutia LaHistoriaBorracha, 1… ",Mexico
788862531292966912,"En la historia no sólo cuentan las Victorias... También cuentan las Coronitas, las Modelo, las Tecate.… ",Mexico
788410836503048192,Esta imagen lo dice todo. Hoy es el último día d inscripción para votar en muchos estados. No dejes q otros decidan… ,Mexico
788217609946673152,Mucho éxito hijo @vadhirderbez!!! Ver cómo has ido creciendo y formando tu carrera me llena de orgullo. ,Mexico
788132767120752640,RT @AiSlinn_Derbez: 😱Ya se acerca el estreno de nuestra película QuePenaTuVida !!!!Quien ya está listo para verla?QuePenaTuVidaCuando n…,Mexico
787100587783446528,Gracias @edomex por dejar claro su compromiso con el Bienestar Animal. NoMásMaltratoAnimal ,Mexico
786399661405777920,En 10 minutos empieza Drunk History. La historia es más divertida contada con unas copas de más...  @ComedyCentralLA,Mexico
786382762005499904,"La historia contada con tequilas dobles... para q te dobles d la risa LaHistoriaBorracha DrunkHistory, HOY estreno 10 pm @ComedyCentralLA",Mexico
786223229383741441,"La historia no es como la cuentan… como la cuentan en Drunk History, lahistoriaborracha HOY 12 de octubre, 10 pm… ",Mexico
785888134424776704,Hay muchos paisanos y latinos que podrían ser perjudicados si gana Trump... Inscríbete y VOTA! No dejes tu destino en manos de otros!,Mexico
785667105332957184,"A @realDonaldTrump ya lo deberían haber corrido y pa´ muestra, este corrido!...",Mexico
785606701932171264,RT @AiSlinn_Derbez: Ya falta poco para que se estrene nuestra nueva película QuePenaTuVidaEstá BUENÍSIMA!Checa y comparte el trailer!ht…,Mexico
783761331857989632,RT @vadhirderbez: Como esta su dia? Ya se metieron a Spotify o Itunes a escuchar Mi musica? TeOlvide MeHacesSentir EnTi Dime cual es tu…,Mexico
780852734857666560,Y así el marcador... ,Mexico
780060017042927616,Demand the State of Wisconsin stop payouts to bear hunters whose dogs are killed by wolves! ,Mexico
779908026736095232,Help Pizza the Polar Bear Escape His Sad Home in a Mall Aquarium ,Mexico
779497526852321280,Lo bueno es que ya casi se acaba... ,Mexico
779069726844522496,RT @AiSlinn_Derbez: Mañana se estrena EASY la nueva serie de @netflix no se la pierdan!@MauOchmann Don't miss the new @netflix series E…,Mexico
778281053781798912,"RT @jimenaobieta: Promovamos la adopción en los centros de control animal, Bravo Metepec! @EugenioDerbez @Betocastillo73 @DefAnimalMX ",Mexico
778278897284558848,No more puppy mill pups sold in Massachusetts pet stores! ,Mexico
778251588817215488,Buenos días!!! ComediaEnInternet Compártanme sus memes o chistes!!! ,Mexico
