id_str,text,class
786703069195046913,Citaron a Wado de Pedro para que diga si vio al juez Casanello en la Quinta de Olivos.--&gt; ,Argentina
786698957086920704,[VIDEO] Un chino se cayó encima de su hijo y lo mató--&gt;  ,Argentina
786698027960442880,Una nueva declaración testimonial complica a Michetti y su Fundación.--&gt;  ,Argentina
786696770294259712,Desplazan a comisario por decirle La Rata a Larreta-&gt;  ,Argentina
786695517610717185,"Cansado de los robos, regala su casa en Córdoba-&gt;  ",Argentina
786694986809106433,Luis Secco: Será complicado cumplir con la meta de inflación de 17%--&gt;  ,Argentina
786694253279928320,Inauguran una obra que alivia el caos de la Ruta 8--&gt; ,Argentina
786692993772322816,Laurita Fernández con Fede Bal en pleno aquadance: mirá su accidentado ensayo en el agua--&gt;… ,Argentina
786691736525475845,Dejaron una nota con amenazas a María Eugenia Vidal en el tribunal de San Martín incendiado.--&gt;… ,Argentina
786691709447135233,"Rompen, roban y defecan en escuela secundaria de Luis Guillón.--&gt;  ",Argentina
786691073565425664,Inauguran una obra que alivia el caos de la Ruta 8--&gt; ,Argentina
786690478276284416,Festejó el triunfo de Paraguay con un desnudo-&gt;  ,Argentina
786688717197107204,Histórico: la Ciudad tendrá boleto estudiantil-&gt;  ,Argentina
786687968387837953,Citaron a Wado de Pedro para que diga si vio al juez Casanello en la Quinta de Olivos.--&gt;,Argentina
786684187742994432,Ojo con lo que tocas: Laurita Fernández con Fede Bal en pleno aquadance: mirá su accidentado ensayo en el agua.--… ,Argentina
786682927811657730,Histórico: la Ciudad tendrá boleto estudiantil-&gt;  ,Argentina
786681743214534656,Una nueva declaración testimonial complica a Michetti y su Fundación.--&gt;  ,Argentina
786681669629739008,"Esteban Bullrich, sobre los docentes: Tenemos un retraso salarial sin resolver--&gt;  ",Argentina
786680421169958912,"Molesto con el acuerdo, Pablo Moyano amenaza con romper con la CGT.--&gt;  ",Argentina
786679154083258368,Dejaron una nota con amenazas a María Eugenia Vidal en el tribunal de San Martín incendiado.--&gt;… ,Argentina
786678398013800448,Dalma Maradona salió a la calle con crema de afeitar en el bigote.--&gt; ,Argentina
786677895057977344,Una mujer incendió el auto a su ex pareja por despecho. --&gt;  ,Argentina
786675379692040192,Mascherano definió su futuro hasta el 2019-&gt;  ,Argentina
786674120398401537,Quiso echar a okupas y lo masacraron a hachazos-&gt;  ,Argentina
786672865307422722,Una organización neonazi volvió a atacar un local K-&gt;  ,Argentina
786671603321016320,Laurita Fernández: entangada con una sugerente malla-&gt;  ,Argentina
786670346602774528,Polémica por uso de aceite de marihuana en niños enfermos-&gt;  ,Argentina
786669088084860928,Cayeron tras robar 50 millones en estafas-&gt;  ,Argentina
786667829919711232,Una mujer incendió el auto a su ex pareja por despecho. --&gt;  ,Argentina
786667829391007745,"Molesto con el acuerdo, Pablo Moyano amenaza con romper con la CGT.--&gt;  ",Argentina
786667828573110272,Bob Dylan es el nuevo premio Nobel de Literatura-&gt;  ,Argentina
786667692543516672,Citaron a Wado de Pedro para que diga si vio al juez Casanello en la Quinta de Olivos.--&gt; ,Argentina
786665312880123905,Detalles de la brutal muerte y violación a Lucía-&gt;  ,Argentina
